carat,cut,color,clarity,depth,table,x,y,z,price
0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2817
0.71,Premium,E,SI1,61.8,59.0,5.75,5.7,3.54,2817
0.71,Premium,E,SI1,61.4,58.0,5.77,5.73,3.53,2817
0.7,Premium,E,VS2,62.4,61.0,5.66,5.63,3.52,2818
0.7,Premium,E,VS2,59.3,60.0,5.78,5.73,3.41,2818
0.7,Premium,E,VS2,63.0,60.0,5.64,5.6,3.54,2818
1.0,Premium,H,I1,61.3,60.0,6.43,6.39,3.93,2818
0.86,Premium,F,SI2,59.3,62.0,6.36,6.22,3.73,2818
0.7,Premium,E,VS1,59.6,57.0,5.91,5.83,3.5,2818
0.7,Premium,F,VS2,61.8,60.0,5.69,5.64,3.5,2818
0.7,Premium,E,VS1,62.7,57.0,5.68,5.64,3.55,2818
0.73,Premium,E,VS2,61.6,59.0,5.77,5.73,3.54,2821
0.73,Premium,E,SI1,61.3,58.0,5.83,5.76,3.55,2821
0.73,Premium,E,SI1,59.6,61.0,5.92,5.85,3.51,2821
0.73,Premium,E,SI1,62.2,59.0,5.77,5.68,3.56,2821
0.73,Premium,D,SI1,61.7,55.0,5.84,5.82,3.6,2821
0.7,Premium,E,VS1,60.8,60.0,5.74,5.71,3.48,2822
0.72,Premium,E,VS2,60.3,59.0,5.84,5.8,3.51,2822
0.72,Premium,E,VS2,60.9,60.0,5.8,5.76,3.52,2822
0.72,Premium,E,VS2,62.4,59.0,5.77,5.7,3.58,2822
0.7,Premium,E,VS2,60.2,60.0,5.73,5.7,3.44,2822
0.71,Premium,D,SI1,62.7,60.0,5.71,5.67,3.57,2822
0.71,Premium,D,SI1,61.3,58.0,5.75,5.73,3.52,2822
0.7,Premium,D,SI1,60.2,60.0,5.82,5.75,3.48,2822
0.7,Premium,E,VS2,61.5,59.0,5.73,5.68,3.51,2822
0.7,Premium,E,VS2,62.6,56.0,5.71,5.66,3.56,2822
0.7,Premium,E,VS2,60.7,62.0,5.72,5.68,3.46,2822
0.7,Premium,F,VS2,60.6,58.0,5.8,5.72,3.49,2822
0.71,Premium,E,VS2,62.3,58.0,5.71,5.66,3.54,2823
0.71,Premium,D,VS2,61.2,59.0,5.74,5.69,3.5,2824
0.82,Premium,E,SI2,60.8,60.0,6.05,6.03,3.67,2824
0.71,Premium,G,VS1,62.2,59.0,5.73,5.66,3.54,2825
0.83,Premium,H,SI1,60.0,59.0,6.08,6.05,3.64,2825
0.83,Premium,H,SI1,62.5,59.0,6.02,5.95,3.74,2825
1.17,Premium,J,I1,60.2,61.0,6.9,6.83,4.13,2825
0.73,Premium,E,VS1,62.6,60.0,5.75,5.68,3.58,2826
0.9,Premium,I,SI2,62.2,59.0,6.11,6.07,3.79,2826
0.7,Premium,E,VS1,62.2,58.0,5.66,5.6,3.5,2826
0.7,Premium,E,VS1,59.4,61.0,5.78,5.74,3.42,2826
0.78,Premium,F,SI1,60.8,60.0,5.97,5.94,3.62,2826
0.79,Premium,H,VVS2,62.6,58.0,5.96,5.9,3.71,2827
1.01,Premium,H,SI2,61.6,61.0,6.39,6.31,3.91,2828
0.72,Premium,F,VS1,62.2,58.0,5.75,5.7,3.56,2829
0.75,Premium,E,SI2,61.9,57.0,5.88,5.82,3.62,2829
0.8,Premium,E,SI2,60.2,57.0,6.05,6.01,3.63,2829
0.9,Premium,G,SI1,60.6,62.0,6.21,6.13,3.74,2830
0.72,Premium,E,SI1,62.1,58.0,5.73,5.76,3.57,2831
0.71,Premium,G,VVS2,62.1,57.0,5.75,5.65,3.54,2832
0.81,Premium,G,SI1,63.0,60.0,5.87,5.81,3.68,2832
0.71,Premium,F,VS1,62.2,58.0,5.72,5.66,3.54,2832
0.75,Premium,F,VS2,59.6,59.0,6.04,5.94,3.57,2835
0.7,Premium,E,VS1,62.6,59.0,5.69,5.66,3.55,2837
0.72,Premium,F,VS1,58.8,60.0,5.91,5.89,3.47,2838
0.7,Premium,F,VS2,62.3,58.0,5.72,5.64,3.54,2838
0.7,Premium,F,VS2,61.7,58.0,5.69,5.63,3.49,2838
0.7,Premium,G,VS1,62.6,55.0,5.73,5.64,3.56,2838
0.7,Premium,F,VS2,59.4,61.0,5.83,5.79,3.45,2838
0.7,Premium,F,VS2,60.9,61.0,5.71,5.66,3.46,2838
0.7,Premium,F,VS2,59.5,58.0,5.85,5.75,3.45,2838
0.7,Premium,G,VS1,63.0,60.0,5.64,5.57,3.53,2838
0.71,Premium,F,VS1,59.1,61.0,5.84,5.81,3.44,2839
0.71,Premium,F,VS1,59.0,60.0,5.82,5.8,3.43,2839
0.71,Premium,F,VS1,60.5,58.0,5.75,5.72,3.47,2839
0.71,Premium,G,VVS2,60.3,58.0,5.82,5.78,3.5,2839
0.71,Premium,F,VS1,59.2,58.0,5.87,5.82,3.46,2839
0.79,Premium,G,VS2,59.3,62.0,6.09,6.01,3.59,2839
0.71,Premium,F,VS1,62.7,59.0,5.7,5.62,3.55,2839
0.71,Premium,F,VS2,59.3,56.0,5.88,5.82,3.47,2840
0.83,Premium,F,SI2,61.4,59.0,6.08,6.04,3.72,2840
0.7,Premium,H,VVS1,59.2,60.0,5.87,5.78,3.45,2840
0.73,Premium,F,VS2,60.3,59.0,5.9,5.87,3.55,2841
1.0,Premium,F,I1,58.9,60.0,6.6,6.55,3.87,2841
0.73,Premium,F,VS2,59.9,59.0,5.87,5.77,3.5,2841
0.73,Premium,G,VS1,61.4,58.0,5.82,5.77,3.56,2841
0.7,Premium,F,VS2,58.7,61.0,5.8,5.72,3.38,2842
1.27,Premium,H,SI2,59.3,61.0,7.12,7.05,4.2,2845
0.77,Premium,E,SI1,62.9,59.0,5.84,5.79,3.66,2846
0.77,Premium,G,VS2,61.3,60.0,5.91,5.81,3.59,2846
0.77,Premium,G,VS1,61.4,58.0,5.94,5.89,3.63,2846
0.76,Premium,D,SI1,61.1,59.0,5.93,5.88,3.61,2847
0.86,Premium,H,SI1,62.7,59.0,6.04,5.98,3.77,2851
0.71,Premium,F,VS2,62.6,58.0,5.67,5.7,3.56,2853
0.79,Premium,D,SI2,60.0,60.0,6.07,6.03,3.63,2853
0.71,Premium,E,SI1,62.7,58.0,5.73,5.66,3.57,2853
0.82,Premium,I,VS1,61.9,58.0,5.99,5.97,3.7,2853
1.12,Premium,H,I1,59.1,61.0,6.78,6.75,4.0,2854
0.73,Premium,E,VS2,62.0,57.0,5.86,5.76,3.6,2854
0.7,Premium,E,VS1,58.4,59.0,5.91,5.83,3.43,2854
0.68,Premium,F,VVS2,61.7,57.0,5.67,5.64,3.49,2854
0.74,Premium,D,VS2,62.4,57.0,5.8,5.74,3.6,2855
0.33,Premium,G,SI2,59.4,59.0,4.52,4.5,2.68,557
0.33,Premium,F,SI2,62.3,58.0,4.43,4.4,2.75,557
0.33,Premium,G,SI2,62.6,58.0,4.42,4.4,2.76,557
0.33,Premium,F,SI2,63.0,58.0,4.42,4.4,2.78,557
0.33,Premium,J,VS1,62.8,58.0,4.41,4.38,2.76,557
0.33,Premium,J,VS1,61.5,61.0,4.46,4.39,2.72,557
0.33,Premium,I,SI1,60.4,59.0,4.54,4.5,2.73,557
0.77,Premium,F,SI1,60.8,59.0,5.92,5.86,3.58,2856
0.77,Premium,F,SI1,61.0,58.0,5.94,5.9,3.61,2856
0.9,Premium,I,VS2,61.9,59.0,6.2,6.14,3.82,2857
0.72,Premium,E,SI1,62.1,58.0,5.76,5.73,3.57,2857
0.71,Premium,E,VS2,61.0,60.0,5.76,5.69,3.49,2858
0.7,Premium,E,VS2,61.4,59.0,5.73,5.7,3.51,2858
0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,2858
0.92,Premium,J,SI1,62.9,58.0,6.22,6.18,3.9,2858
0.71,Premium,D,VS2,60.4,62.0,5.74,5.72,3.46,2858
0.7,Premium,D,VS2,62.4,56.0,5.72,5.66,3.55,2859
0.77,Premium,F,VS1,60.9,60.0,5.91,5.88,3.59,2859
0.7,Premium,D,VS2,59.6,61.0,5.8,5.77,3.45,2859
0.83,Premium,E,SI2,59.2,60.0,6.17,6.12,3.64,2859
0.71,Premium,D,VS1,62.9,57.0,5.66,5.6,3.54,2860
0.71,Premium,D,SI1,60.7,58.0,5.95,5.78,3.56,2861
0.9,Premium,I,SI1,63.0,58.0,6.09,6.01,3.81,2861
0.82,Premium,E,SI2,61.7,59.0,6.01,5.98,3.7,2861
0.66,Premium,D,VS1,61.0,58.0,5.67,5.57,3.43,2861
0.79,Premium,F,SI1,62.3,54.0,5.97,5.91,3.7,2862
0.79,Premium,H,VS1,60.0,60.0,6.07,5.99,3.64,2862
0.7,Premium,E,VS2,59.5,59.0,5.82,5.77,3.45,2862
1.22,Premium,E,I1,60.9,57.0,6.93,6.88,4.21,2862
0.73,Premium,E,VS2,62.5,61.0,5.78,5.64,3.59,2862
0.83,Premium,G,SI1,62.3,58.0,6.01,5.97,3.73,2863
0.84,Premium,F,SI2,62.3,59.0,6.06,6.01,3.76,2863
0.71,Premium,D,SI1,61.0,61.0,5.82,5.75,3.53,2863
0.71,Premium,D,SI1,59.7,59.0,5.82,5.8,3.47,2863
0.71,Premium,D,SI1,61.7,56.0,5.8,5.68,3.54,2863
0.71,Premium,D,SI1,61.4,58.0,5.79,5.75,3.54,2863
0.71,Premium,D,SI1,60.6,58.0,5.79,5.77,3.5,2863
0.91,Premium,J,SI1,59.5,62.0,6.4,6.18,3.74,2863
0.9,Premium,J,VS2,59.8,62.0,6.24,6.21,3.72,2863
0.71,Premium,H,VVS2,61.5,62.0,5.74,5.68,3.51,2863
0.71,Premium,E,SI1,59.1,61.0,5.84,5.8,3.44,2863
0.72,Premium,E,SI1,60.9,60.0,5.78,5.74,3.51,2863
0.73,Premium,D,SI1,60.8,55.0,5.87,5.81,3.55,2865
0.96,Premium,I,SI1,61.3,58.0,6.39,6.3,3.89,2866
0.8,Premium,H,VS2,61.2,53.0,6.05,5.98,3.68,2867
0.95,Premium,F,SI2,58.4,57.0,6.49,6.41,3.77,2867
0.82,Premium,F,SI2,59.7,57.0,6.14,6.12,3.66,2867
0.79,Premium,E,SI2,61.0,58.0,5.96,5.9,3.62,2868
1.08,Premium,D,I1,61.9,60.0,6.55,6.48,4.03,2869
0.52,Premium,F,VVS2,61.8,60.0,5.16,5.13,3.18,2870
0.64,Premium,E,VVS2,62.1,58.0,5.56,5.51,3.44,2870
0.73,Premium,E,VS1,61.3,59.0,5.81,5.78,3.55,2870
1.04,Premium,I,I1,61.6,61.0,6.47,6.45,3.98,2870
0.9,Premium,J,SI1,62.8,59.0,6.13,6.03,3.82,2871
0.9,Premium,J,SI1,61.8,58.0,6.16,6.13,3.8,2873
0.9,Premium,J,SI1,60.9,61.0,6.26,6.22,3.8,2873
0.78,Premium,F,VS2,62.6,58.0,5.91,5.82,3.67,2874
0.71,Premium,D,VS2,61.2,59.0,5.69,5.74,3.5,2874
0.7,Premium,F,VS1,59.0,59.0,5.79,5.77,3.41,2874
0.7,Premium,F,VS1,60.8,62.0,5.71,5.67,3.46,2874
0.7,Premium,G,VVS2,61.8,58.0,5.67,5.63,3.49,2874
0.7,Premium,G,VVS2,62.9,59.0,5.68,5.61,3.55,2874
0.73,Premium,E,VS1,62.6,60.0,5.68,5.75,3.58,2876
0.79,Premium,E,VS2,60.6,53.0,6.04,5.98,3.64,2876
0.63,Premium,E,IF,60.3,62.0,5.55,5.53,3.34,2879
0.7,Premium,F,VS1,60.4,60.0,5.73,5.7,3.45,2879
0.71,Premium,F,VS1,62.7,58.0,5.71,5.67,3.57,2879
1.05,Premium,H,I1,62.0,59.0,6.5,6.47,4.02,2881
0.73,Premium,F,VS2,59.9,58.0,5.87,5.84,3.51,2882
0.73,Premium,F,VS2,58.7,57.0,5.97,5.92,3.49,2882
1.01,Premium,I,SI1,62.7,60.0,6.36,6.27,3.96,2885
0.7,Premium,E,VS1,62.6,59.0,5.66,5.69,3.55,2887
0.77,Premium,F,VS2,61.8,56.0,5.94,5.9,3.66,2889
0.77,Premium,E,SI1,59.8,61.0,5.99,5.95,3.57,2889
0.8,Premium,F,SI1,61.5,60.0,5.97,5.94,3.66,2890
0.82,Premium,G,SI1,59.9,59.0,6.09,6.06,3.64,2893
0.77,Premium,E,SI1,60.9,58.0,5.94,5.88,3.6,2896
0.76,Premium,E,SI1,61.1,58.0,5.91,5.85,3.59,2897
0.74,Premium,D,VS2,61.8,58.0,5.81,5.77,3.58,2897
1.12,Premium,J,SI2,60.6,59.0,6.68,6.61,4.03,2898
0.72,Premium,D,VS1,62.7,58.0,5.68,5.65,3.55,2900
0.8,Premium,F,SI1,62.7,58.0,5.91,5.93,3.71,2901
0.81,Premium,E,SI2,62.5,59.0,5.97,5.9,3.71,2901
0.73,Premium,E,VS2,62.0,60.0,5.76,5.73,3.56,2902
0.71,Premium,E,VS2,59.6,60.0,5.85,5.8,3.47,2902
0.75,Premium,D,SI1,62.8,60.0,5.78,5.74,3.62,2903
0.72,Premium,D,SI1,61.4,59.0,5.79,5.71,3.53,2903
0.72,Premium,E,VS2,61.1,59.0,5.8,5.75,3.53,2903
0.91,Premium,J,SI1,62.8,59.0,6.19,6.14,3.87,2905
0.25,Premium,F,VS1,61.2,59.0,4.05,4.02,2.47,558
0.25,Premium,E,VS1,60.7,59.0,4.13,4.11,2.5,558
0.25,Premium,E,VS1,61.5,60.0,4.04,4.02,2.48,558
0.31,Premium,I,VS2,60.8,58.0,4.37,4.34,2.65,558
0.31,Premium,I,VS2,59.8,60.0,4.42,4.38,2.63,558
0.31,Premium,I,VS2,62.3,57.0,4.35,4.32,2.7,558
0.31,Premium,H,SI1,58.7,60.0,4.47,4.43,2.61,558
0.31,Premium,H,SI1,62.7,58.0,4.34,4.31,2.71,558
0.31,Premium,I,VS2,60.8,60.0,4.42,4.37,2.67,558
0.31,Premium,I,VS2,59.9,60.0,4.44,4.41,2.65,558
0.31,Premium,I,VS2,61.1,58.0,4.38,4.36,2.67,558
0.31,Premium,I,VS2,60.7,61.0,4.34,4.32,2.63,558
0.31,Premium,I,VS2,62.3,60.0,4.32,4.31,2.69,558
0.31,Premium,H,SI1,61.7,59.0,4.39,4.36,2.7,558
0.31,Premium,H,SI1,61.0,61.0,4.39,4.33,2.66,558
0.31,Premium,H,SI1,62.4,57.0,4.35,4.31,2.7,558
0.31,Premium,H,SI1,62.8,58.0,4.32,4.28,2.7,558
0.31,Premium,E,SI2,60.9,60.0,4.38,4.35,2.66,558
0.7,Premium,D,VS2,61.0,60.0,5.75,5.7,3.49,2909
0.7,Premium,D,VS2,60.9,57.0,5.71,5.69,3.47,2909
1.05,Premium,I,SI2,58.3,57.0,6.72,6.67,3.9,2911
0.8,Premium,E,SI1,61.2,60.0,5.97,5.95,3.65,2912
0.71,Premium,D,SI1,61.4,58.0,5.75,5.79,3.54,2913
0.71,Premium,G,SI2,60.8,59.0,5.7,5.74,3.48,2913
0.71,Premium,D,SI1,60.6,58.0,5.77,5.79,3.5,2913
0.71,Premium,D,SI1,59.7,59.0,5.8,5.82,3.47,2913
0.91,Premium,I,SI2,62.0,59.0,6.18,6.23,3.85,2913
0.83,Premium,E,SI1,62.2,59.0,6.05,5.97,3.74,2913
0.74,Premium,F,VS1,62.5,60.0,5.78,5.74,3.6,2917
0.73,Premium,G,VVS2,62.2,56.0,5.79,5.75,3.59,2919
0.71,Premium,E,VS1,59.7,57.0,5.87,5.78,3.48,2920
0.71,Premium,F,VS1,59.1,59.0,5.88,5.83,3.46,2920
0.9,Premium,I,VS2,58.7,60.0,6.35,6.28,3.7,2923
1.2,Premium,I,I1,60.5,58.0,6.9,6.79,4.14,2925
0.81,Premium,F,SI1,61.2,56.0,6.03,6.0,3.68,2926
0.81,Premium,F,SI1,61.3,60.0,6.0,5.94,3.66,2926
0.9,Premium,H,SI2,59.5,60.0,6.32,6.29,3.75,2927
0.7,Premium,E,VS1,60.3,58.0,5.7,5.74,3.45,2930
0.7,Premium,G,VVS1,62.0,61.0,5.71,5.62,3.51,2932
0.7,Premium,F,VVS2,61.0,57.0,5.8,5.71,3.51,2932
0.73,Premium,F,VS2,59.9,58.0,5.84,5.87,3.51,2933
0.91,Premium,H,SI1,60.2,52.0,6.27,6.15,3.74,2935
0.8,Premium,H,VS1,62.0,60.0,5.92,5.86,3.65,2935
0.76,Premium,E,SI1,58.3,62.0,6.12,5.95,3.52,2937
0.76,Premium,G,VS1,59.6,57.0,6.01,5.91,3.55,2937
0.95,Premium,G,SI2,58.8,60.0,6.35,6.31,3.72,2937
0.77,Premium,D,SI1,59.5,60.0,6.01,5.95,3.56,2939
0.8,Premium,E,SI2,59.9,58.0,6.03,5.96,3.59,2939
0.82,Premium,H,VS2,62.6,59.0,5.99,5.93,3.73,2939
0.71,Premium,F,VS1,61.1,58.0,5.76,5.72,3.51,2942
0.76,Premium,D,SI1,61.6,59.0,5.84,5.82,3.59,2942
0.73,Premium,D,VS2,60.9,59.0,5.82,5.77,3.53,2947
0.9,Premium,I,SI1,60.9,56.0,6.26,6.21,3.8,2947
0.9,Premium,I,SI2,62.5,58.0,6.15,6.1,3.83,2948
0.9,Premium,I,SI2,60.6,60.0,6.28,6.23,3.79,2948
0.71,Premium,D,VS2,62.1,60.0,5.72,5.68,3.54,2950
0.79,Premium,F,VS2,63.0,59.0,5.84,5.8,3.66,2953
0.72,Premium,E,VS2,61.1,59.0,5.75,5.8,3.53,2954
0.72,Premium,D,SI1,61.4,59.0,5.71,5.79,3.53,2954
0.89,Premium,I,VS1,62.2,62.0,6.14,6.02,3.78,2955
0.7,Premium,D,VS1,60.4,58.0,5.78,5.71,3.47,2956
0.79,Premium,G,VS2,62.3,58.0,5.92,5.89,3.68,2959
0.72,Premium,E,VS1,61.5,60.0,5.79,5.75,3.55,2961
0.73,Premium,F,VS1,61.9,56.0,5.81,5.76,3.58,2961
0.73,Premium,F,VS1,62.7,56.0,5.75,5.73,3.6,2961
0.71,Premium,F,VS1,62.1,53.0,5.77,5.7,3.56,2961
0.75,Premium,H,VS1,61.9,61.0,5.85,5.82,3.61,2961
0.96,Premium,E,SI2,60.4,56.0,6.32,6.23,3.79,2961
0.82,Premium,F,SI1,62.4,56.0,6.01,5.98,3.74,2962
0.9,Premium,J,VS1,62.1,62.0,6.12,6.05,3.78,2964
1.05,Premium,E,I1,61.4,58.0,6.53,6.46,3.99,2964
0.31,Premium,E,SI2,60.8,61.0,4.43,4.39,2.68,558
0.31,Premium,E,SI2,61.2,61.0,4.37,4.36,2.67,558
0.32,Premium,H,VS1,60.2,58.0,4.43,4.47,2.68,561
0.92,Premium,H,SI1,59.2,60.0,6.4,6.35,3.76,2968
0.71,Premium,D,VS2,58.7,61.0,5.88,5.85,3.44,2968
1.06,Premium,I,SI2,61.5,57.0,6.57,6.49,4.02,2968
0.52,Premium,E,VVS2,60.1,58.0,5.23,5.18,3.13,2970
0.78,Premium,E,VS2,62.6,57.0,5.91,5.85,3.68,2970
